iter	Passed	Remaining
783	11750	3237
784	11765	3222
785	11779	3207
786	11795	3192
787	11810	3177
788	11825	3162
789	11840	3147
790	11855	3132
791	11870	3117
792	11885	3102
793	11901	3087
794	11916	3072
795	11932	3057
796	11947	3043
797	11962	3028
798	11976	3012
799	11991	2997
800	12006	2982
801	12022	2968
802	12037	2953
803	12052	2938
804	12068	2923
805	12082	2908
806	12097	2893
807	12112	2878
808	12127	2863
809	12142	2848
810	12157	2833
811	12172	2818
812	12187	2803
813	12202	2788
814	12217	2773
815	12232	2758
816	12248	2743
817	12264	2728
818	12281	2714
819	12296	2699
820	12311	2684
821	12327	2669
822	12342	2654
823	12356	2639
824	12371	2624
825	12387	2609
826	12401	2594
827	12416	2579
828	12434	2564
829	12449	2549
830	12465	2535
831	12479	2519
832	12494	2504
833	12509	2489
834	12524	2474
835	12540	2460
836	12554	2444
837	12569	2429
838	12584	2414
839	12600	2400
840	12617	2385
841	12632	2370
842	12647	2355
843	12662	2340
844	12676	2325
845	12691	2310
846	12706	2295
847	12719	2279
848	12734	2264
849	12749	2249
850	12764	2234
851	12779	2219
852	12794	2204
853	12809	2189
854	12823	2174
855	12838	2159
856	12854	2144
857	12869	2129
858	12884	2114
859	12899	2099
860	12913	2084
861	12929	2069
862	12945	2055
863	12961	2040
864	12976	2025
865	12990	2010
866	13005	1995
867	13020	1980
868	13036	1965
869	13052	1950
870	13067	1935
871	13082	1920
872	13097	1905
873	13111	1890
874	13127	1875
875	13141	1860
876	13157	1845
877	13171	1830
878	13186	1815
879	13202	1800
880	13217	1785
881	13233	1770
882	13250	1755
883	13265	1740
884	13280	1725
885	13293	1710
886	13308	1695
887	13322	1680
888	13337	1665
889	13352	1650
890	13367	1635
891	13382	1620
892	13397	1605
893	13412	1590
894	13426	1575
895	13442	1560
896	13458	1545
897	13474	1530
898	13489	1515
899	13505	1500
900	13520	1485
901	13538	1470
902	13553	1455
903	13569	1440
904	13583	1425
905	13598	1410
906	13613	1395
907	13627	1380
908	13644	1365
909	13660	1351
910	13677	1336
911	13692	1321
912	13708	1306
913	13723	1291
914	13739	1276
915	13754	1261
916	13769	1246
917	13784	1231
918	13800	1216
919	13816	1201
920	13832	1186
921	13848	1171
922	13862	1156
923	13878	1141
924	13893	1126
925	13908	1111
926	13925	1096
927	13940	1081
928	13957	1066
929	13972	1051
930	13987	1036
931	14002	1021
932	14017	1006
933	14032	991
934	14048	976
935	14065	961
936	14081	946
937	14096	931
938	14110	916
939	14125	901
940	14141	886
941	14157	871
942	14172	856
943	14187	841
944	14201	826
945	14216	811
946	14232	796
947	14246	781
948	14262	766
949	14279	751
950	14294	736
951	14309	721
952	14324	706
953	14338	691
954	14354	676
955	14369	661
956	14384	646
957	14399	631
958	14413	616
959	14428	601
960	14444	586
961	14460	571
962	14475	556
963	14490	541
964	14507	526
965	14523	511
966	14538	496
967	14554	481
968	14568	466
969	14584	451
970	14600	436
971	14615	421
972	14630	405
973	14647	391
974	14663	375
975	14679	360
976	14693	345
977	14709	330
978	14725	315
979	14740	300
980	14754	285
981	14769	270
982	14784	255
983	14800	240
984	14816	225
985	14830	210
986	14847	195
987	14861	180
988	14876	165
989	14891	150
990	14906	135
991	14922	120
992	14937	105
993	14953	90
994	14968	75
995	14984	60
996	14999	45
997	15012	30
998	15027	15
999	15041	0
